day,type_name,sub_type_name,shop_name,service,use
20151012,cocktail0,base52,user_type14,0,950.0
20151029,cocktail0,base52,user_type14,0,402.0
20160204,cocktail0,base52,user_type4,1,67.0
20160720,cocktail0,base52,user_type4,1,442.0
20160817,cocktail0,base52,user_type4,1,449.0
20160928,cocktail0,base52,user_type4,1,503.0
20150416,cocktail0,base10,user_type8,1,63.0
20150514,cocktail0,base10,user_type8,1,121.0
20151109,cocktail0,base10,user_type11,0,176.0
20151215,cocktail0,base10,user_type38,1,160.0
20160506,cocktail0,base10,user_type8,1,29.0
20160530,cocktail0,base10,user_type8,1,65.0
20180523,cocktail0,base10,user_type2,0,156.0
20150216,cocktail0,base54,user_type35,0,62.0
20150910,cocktail0,base54,user_type11,0,311.0
20151105,cocktail0,base54,user_type11,0,329.0
20160119,cocktail0,base54,user_type11,0,163.0
20150114,cocktail0,base9,user_type59,0,1112.0
20150116,cocktail0,base9,user_type25,1,1072.0
20150817,cocktail0,base9,user_type11,0,821.0
20150825,cocktail0,base9,user_type11,0,212.0
20151123,cocktail0,base9,user_type45,1,1092.0
20160104,cocktail0,base9,user_type45,1,918.0
20160215,cocktail0,base9,user_type6,1,17.0
20160422,cocktail0,base9,user_type1,1,133.0
20161104,cocktail0,base9,user_type38,1,630.0
20171106,cocktail0,base9,user_type16,0,581.0
20150601,cocktail0,base27,user_type9,1,231.0
20150924,cocktail0,base27,user_type8,1,14.0
20160428,cocktail0,base27,user_type8,1,80.0
20151019,cocktail0,base37,user_type28,1,830.0
20160401,cocktail0,base37,user_type1,1,459.0
20160603,cocktail0,base37,user_type11,0,561.0
20160929,cocktail0,base37,user_type16,0,554.0
20181002,cocktail0,base37,user_type3,0,524.0
20160321,cocktail0,base76,user_type10,1,73.0
20160603,cocktail0,base76,user_type11,0,1956.0
20170407,cocktail0,base76,user_type79,1,322.0
20171211,cocktail0,base76,user_type45,1,493.0
20180504,cocktail0,base76,user_type17,0,428.0
20150116,cocktail0,base19,user_type25,1,559.0
20150430,cocktail0,base19,user_type8,1,126.0
20150514,cocktail0,base19,user_type8,1,210.0
20150709,cocktail0,base19,user_type8,1,411.0
20151015,cocktail0,base19,user_type8,1,23.0
20160404,cocktail0,base19,user_type8,1,30.0
20160414,cocktail0,base19,user_type8,1,322.0
20160725,cocktail0,base19,user_type2,0,25.0
20161013,cocktail0,base19,user_type8,1,65.0
20161014,cocktail0,base19,user_type8,1,336.0
20161118,cocktail0,base19,user_type2,0,15.0
20170921,cocktail0,base19,user_type8,1,660.0
20180423,cocktail0,base19,user_type2,0,90.0
20180523,cocktail0,base19,user_type2,0,157.0
20160412,cocktail0,base85,user_type11,0,1227.0
20180618,cocktail0,base85,user_type17,0,111.0
20150217,cocktail0,base4,user_type18,1,381.0
20150323,cocktail0,base4,user_type8,1,97.0
20150331,cocktail0,base4,user_type8,1,43.0
20150409,cocktail0,base4,user_type8,1,52.0
20150416,cocktail0,base4,user_type8,1,244.0
20150423,cocktail0,base4,user_type8,1,1970.0
20150427,cocktail0,base4,user_type18,1,580.0
20150430,cocktail0,base4,user_type8,1,1449.0
20150511,cocktail0,base4,user_type18,1,371.0
20150514,cocktail0,base4,user_type8,1,748.0
20150709,cocktail0,base4,user_type8,1,1013.0
20150720,cocktail0,base4,user_type45,1,1948.0
20150807,cocktail0,base4,user_type8,1,31.0
20150907,cocktail0,base4,user_type18,1,585.0
20150924,cocktail0,base4,user_type8,1,17.0
20150925,cocktail0,base4,user_type8,1,974.0
20150925,cocktail0,base4,user_type23,1,134.0
20151001,cocktail0,base4,user_type8,1,1590.0
20151007,cocktail0,base4,user_type8,1,15.0
20151015,cocktail0,base4,user_type8,1,73.0
20151105,cocktail0,base4,user_type11,0,592.0
20151106,cocktail0,base4,user_type3,0,388.0
20151210,cocktail0,base4,user_type11,0,459.0
20151210,cocktail0,base4,user_type8,1,289.0
20151218,cocktail0,base4,user_type18,1,84.0
20160201,cocktail0,base4,user_type18,1,41.0
20160212,cocktail0,base4,user_type8,1,18.0
20160401,cocktail0,base4,user_type2,0,790.0
20160404,cocktail0,base4,user_type8,1,84.0
20160414,cocktail0,base4,user_type8,1,2402.0
20160425,cocktail0,base4,user_type11,0,1022.0
20160428,cocktail0,base4,user_type8,1,153.0
20160506,cocktail0,base4,user_type8,1,104.0
20160610,cocktail0,base4,user_type3,0,1145.0
20160624,cocktail0,base4,user_type18,1,61.0
20161007,cocktail0,base4,user_type8,1,34.0
20161012,cocktail0,base4,user_type8,1,77.0
20161013,cocktail0,base4,user_type8,1,121.0
20161014,cocktail0,base4,user_type8,1,1201.0
20161021,cocktail0,base4,user_type8,1,1082.0
20161021,cocktail0,base4,user_type18,1,204.0
20161228,cocktail0,base4,user_type18,1,230.0
20170202,cocktail0,base4,user_type18,1,276.0
20170302,cocktail0,base4,user_type18,1,364.0
20170405,cocktail0,base4,user_type2,0,831.0
20170406,cocktail0,base4,user_type11,0,254.0
20170921,cocktail0,base4,user_type8,1,646.0
20171030,cocktail0,base4,user_type11,0,420.0
20171106,cocktail0,base4,user_type18,1,227.0
20171130,cocktail0,base4,user_type17,0,102.0
20171219,cocktail0,base4,user_type18,1,322.0
20171222,cocktail0,base4,user_type17,0,20.0
20180123,cocktail0,base4,user_type18,1,369.0
20180605,cocktail0,base4,user_type18,1,212.0
20180831,cocktail0,base4,user_type18,1,260.0
20181030,cocktail0,base4,user_type12,0,965.0
20150520,cocktail0,base50,user_type14,0,595.0
20150915,cocktail0,base50,user_type11,0,592.0
20151210,cocktail0,base50,user_type11,0,426.0
20170330,cocktail0,base50,user_type10,1,269.0
20170403,cocktail0,base50,user_type10,1,1194.0
20170407,cocktail0,base50,user_type28,1,412.0
20150723,cocktail0,base14,user_type11,0,1454.0
20151014,cocktail0,base14,user_type11,0,287.0
20151109,cocktail0,base14,user_type45,1,806.0
20151210,cocktail0,base14,user_type11,0,884.0
20151215,cocktail0,base14,user_type11,0,1651.0
20170331,cocktail0,base14,user_type11,0,208.0
20180419,cocktail0,base14,user_type2,0,1996.0
20180504,cocktail0,base14,user_type17,0,171.0
20150119,cocktail0,base2,user_type1,1,65.0
20150213,cocktail0,base2,user_type1,1,113.0
20150217,cocktail0,base2,user_type10,1,1700.0
20150302,cocktail0,base2,user_type10,1,717.0
20150303,cocktail0,base2,user_type10,1,121.0
20150310,cocktail0,base2,user_type10,1,500.0
20150330,cocktail0,base2,user_type10,1,789.0
20150414,cocktail0,base2,user_type1,1,290.0
20150427,cocktail0,base2,user_type47,1,1707.0
20150508,cocktail0,base2,user_type1,1,743.0
20150605,cocktail0,base2,user_type1,1,275.0
20150622,cocktail0,base2,user_type47,1,50.0
20150623,cocktail0,base2,user_type17,0,13.0
20150717,cocktail0,base2,user_type1,1,1021.0
20150803,cocktail0,base2,user_type1,1,383.0
20150814,cocktail0,base2,user_type1,1,101.0
20150827,cocktail0,base2,user_type47,1,622.0
20150904,cocktail0,base2,user_type1,1,591.0
20150918,cocktail0,base2,user_type1,1,419.0
20150923,cocktail0,base2,user_type10,1,653.0
20150925,cocktail0,base2,user_type1,1,67.0
20151012,cocktail0,base2,user_type51,1,554.0
20151014,cocktail0,base2,user_type10,1,2088.0
20151015,cocktail0,base2,user_type1,1,701.0
20151016,cocktail0,base2,user_type10,1,672.0
20151028,cocktail0,base2,user_type47,1,376.0
20151029,cocktail0,base2,user_type1,1,234.0
20151030,cocktail0,base2,user_type10,1,317.0
20151103,cocktail0,base2,user_type17,0,1605.0
20151106,cocktail0,base2,user_type1,1,287.0
20151120,cocktail0,base2,user_type1,1,203.0
20151124,cocktail0,base2,user_type17,0,2030.0
20151202,cocktail0,base2,user_type17,0,767.0
20151210,cocktail0,base2,user_type11,0,665.0
20151215,cocktail0,base2,user_type11,0,681.0
20151217,cocktail0,base2,user_type1,1,161.0
20160128,cocktail0,base2,user_type60,1,11.0
20160217,cocktail0,base2,user_type10,1,1387.0
20160219,cocktail0,base2,user_type1,1,121.0
20160323,cocktail0,base2,user_type10,1,414.0
20160328,cocktail0,base2,user_type10,1,256.0
20160401,cocktail0,base2,user_type1,1,368.0
20160412,cocktail0,base2,user_type11,0,858.0
20160808,cocktail0,base2,user_type1,1,211.0
20160819,cocktail0,base2,user_type1,1,340.0
20160919,cocktail0,base2,user_type1,1,284.0
20160929,cocktail0,base2,user_type1,1,70.0
20161007,cocktail0,base2,user_type1,1,545.0
20161028,cocktail0,base2,user_type1,1,368.0
20161111,cocktail0,base2,user_type17,0,3927.0
20161118,cocktail0,base2,user_type1,1,72.0
20161125,cocktail0,base2,user_type1,1,281.0
20161223,cocktail0,base2,user_type1,1,252.0
20170120,cocktail0,base2,user_type1,1,117.0
20170217,cocktail0,base2,user_type1,1,90.0
20170224,cocktail0,base2,user_type1,1,176.0
20170308,cocktail0,base2,user_type1,1,137.0
20170428,cocktail0,base2,user_type1,1,140.0
20170711,cocktail0,base2,user_type1,1,62.0
20170720,cocktail0,base2,user_type1,1,189.0
20170810,cocktail0,base2,user_type1,1,212.0
20170823,cocktail0,base2,user_type1,1,176.0
20170913,cocktail0,base2,user_type1,1,100.0
20171011,cocktail0,base2,user_type1,1,63.0
20171102,cocktail0,base2,user_type1,1,93.0
20171117,cocktail0,base2,user_type1,1,67.0
20171214,cocktail0,base2,user_type1,1,140.0
20180103,cocktail0,base2,user_type16,0,339.0
20180117,cocktail0,base2,user_type1,1,12.0
20180412,cocktail0,base2,user_type10,1,912.0
20180614,cocktail0,base2,user_type1,1,155.0
20180713,cocktail0,base2,user_type11,0,272.0
20181105,cocktail0,base2,user_type24,1,853.0
20181112,cocktail0,base2,user_type24,1,956.0
20181112,cocktail0,base2,user_type16,0,2181.0
20181114,cocktail0,base2,user_type42,1,593.0
20181115,cocktail0,base2,user_type42,1,908.0
20181119,cocktail0,base2,user_type16,0,402.0
20181126,cocktail0,base2,user_type24,1,291.0
20181126,cocktail0,base2,user_type16,0,969.0
20181126,cocktail0,base2,user_type51,1,1573.0
20181203,cocktail0,base2,user_type16,0,744.0
20181210,cocktail0,base2,user_type16,0,999.0
20181217,cocktail0,base2,user_type51,1,688.0
20181221,cocktail0,base2,user_type16,0,71.0
20150317,cocktail0,base7,user_type86,1,692.0
20150410,cocktail0,base7,user_type48,1,948.0
20150709,cocktail0,base7,user_type11,0,1180.0
20150803,cocktail0,base7,user_type45,1,3965.0
20151105,cocktail0,base7,user_type11,0,3003.0
20151109,cocktail0,base7,user_type45,1,1440.0
20151123,cocktail0,base7,user_type16,0,2478.0
20151127,cocktail0,base7,user_type11,0,59.0
20151203,cocktail0,base7,user_type11,0,800.0
20151210,cocktail0,base7,user_type11,0,1034.0
20151215,cocktail0,base7,user_type11,0,2648.0
20160104,cocktail0,base7,user_type45,1,2685.0
20160201,cocktail0,base7,user_type11,0,129.0
20160212,cocktail0,base7,user_type45,1,669.0
20160321,cocktail0,base7,user_type10,1,325.0
20160405,cocktail0,base7,user_type11,0,744.0
20160412,cocktail0,base7,user_type11,0,1576.0
20160420,cocktail0,base7,user_type11,0,622.0
20160708,cocktail0,base7,user_type1,1,23.0
20160719,cocktail0,base7,user_type17,0,790.0
20160728,cocktail0,base7,user_type52,0,31.0
20161018,cocktail0,base7,user_type2,0,506.0
20161021,cocktail0,base7,user_type11,0,1525.0
20161223,cocktail0,base7,user_type1,1,328.0
20170120,cocktail0,base7,user_type1,1,309.0
20170210,cocktail0,base7,user_type2,0,592.0
20170217,cocktail0,base7,user_type1,1,202.0
20170315,cocktail0,base7,user_type1,1,160.0
20170406,cocktail0,base7,user_type1,1,581.0
20170417,cocktail0,base7,user_type10,1,794.0
20170705,cocktail0,base7,user_type23,1,189.0
20171106,cocktail0,base7,user_type16,0,549.0
20171127,cocktail0,base7,user_type16,0,1222.0
20171214,cocktail0,base7,user_type23,1,490.0
20171222,cocktail0,base7,user_type45,1,338.0
20180322,cocktail0,base7,user_type23,1,11.0
20180329,cocktail0,base7,user_type11,0,83.0
20181114,cocktail0,base7,user_type2,0,663.0
20150310,cocktail0,base32,user_type16,0,47.0
20150312,cocktail0,base32,user_type16,0,80.0
20150319,cocktail0,base32,user_type10,1,316.0
20151026,cocktail0,base32,user_type16,0,2358.0
20151105,cocktail0,base32,user_type11,0,391.0
20151208,cocktail0,base32,user_type16,0,2609.0
20151228,cocktail0,base32,user_type45,1,504.0
20160307,cocktail0,base32,user_type10,1,145.0
20160321,cocktail0,base32,user_type10,1,199.0
20160610,cocktail0,base32,user_type11,0,255.0
20170424,cocktail0,base32,user_type11,0,166.0
20150112,cocktail0,base49,user_type4,1,20.0
20150113,cocktail0,base49,user_type9,1,1704.0
20150327,cocktail0,base49,user_type5,1,11.0
20150330,cocktail0,base49,user_type4,1,1356.0
20150423,cocktail0,base49,user_type4,1,521.0
20150903,cocktail0,base49,user_type4,1,1550.0
20160404,cocktail0,base49,user_type11,0,459.0
20160725,cocktail0,base49,user_type2,0,29.0
20161118,cocktail0,base49,user_type2,0,14.0
20170407,cocktail0,base49,user_type4,1,541.0
20181105,cocktail0,base49,user_type10,1,249.0
20160617,cocktail0,base75,user_type52,0,347.0
20150107,cocktail0,base8,user_type5,1,223.0
20150112,cocktail0,base8,user_type4,1,1216.0
20150113,cocktail0,base8,user_type9,1,2032.0
20150119,cocktail0,base8,user_type4,1,2306.0
20150203,cocktail0,base8,user_type10,1,731.0
20150203,cocktail0,base8,user_type4,1,20.0
20150203,cocktail0,base8,user_type9,1,29.0
20150217,cocktail0,base8,user_type4,1,3100.0
20150217,cocktail0,base8,user_type9,1,206.0
20150303,cocktail0,base8,user_type4,1,2838.0
20150309,cocktail0,base8,user_type4,1,594.0
20150323,cocktail0,base8,user_type4,1,3357.0
20150323,cocktail0,base8,user_type9,1,589.0
20150327,cocktail0,base8,user_type5,1,12.0
20150420,cocktail0,base8,user_type4,1,1374.0
20150420,cocktail0,base8,user_type9,1,1360.0
20150423,cocktail0,base8,user_type4,1,2509.0
20150504,cocktail0,base8,user_type59,0,359.0
20150504,cocktail0,base8,user_type9,1,58.0
20150518,cocktail0,base8,user_type4,1,12.0
20150521,cocktail0,base8,user_type4,1,1334.0
20150604,cocktail0,base8,user_type11,0,579.0
20150609,cocktail0,base8,user_type9,1,40.0
20150702,cocktail0,base8,user_type22,1,438.0
20150713,cocktail0,base8,user_type59,0,204.0
20150721,cocktail0,base8,user_type9,1,13.0
20150723,cocktail0,base8,user_type4,1,207.0
20150820,cocktail0,base8,user_type4,1,185.0
20150924,cocktail0,base8,user_type4,1,273.0
20151022,cocktail0,base8,user_type4,1,93.0
20151023,cocktail0,base8,user_type9,1,542.0
20151119,cocktail0,base8,user_type9,1,3106.0
20151126,cocktail0,base8,user_type9,1,802.0
20151218,cocktail0,base8,user_type9,1,570.0
20151223,cocktail0,base8,user_type4,1,2681.0
20160107,cocktail0,base8,user_type9,1,63.0
20160205,cocktail0,base8,user_type9,1,40.0
20160229,cocktail0,base8,user_type9,1,4345.0
20160307,cocktail0,base8,user_type10,1,326.0
20160317,cocktail0,base8,user_type9,1,644.0
20160318,cocktail0,base8,user_type9,1,55.0
20160414,cocktail0,base8,user_type9,1,355.0
20160418,cocktail0,base8,user_type9,1,60.0
20160422,cocktail0,base8,user_type1,1,281.0
20160526,cocktail0,base8,user_type9,1,1636.0
20160720,cocktail0,base8,user_type4,1,1748.0
20160721,cocktail0,base8,user_type17,0,846.0
20170425,cocktail0,base8,user_type2,0,435.0
20180502,cocktail0,base8,user_type17,0,1256.0
20181022,cocktail0,base8,user_type3,0,683.0
20150323,cocktail0,base40,user_type8,1,11.0
20150331,cocktail0,base40,user_type8,1,20.0
20150416,cocktail0,base40,user_type8,1,469.0
20150430,cocktail0,base40,user_type8,1,353.0
20150922,cocktail0,base40,user_type8,1,29.0
20150924,cocktail0,base40,user_type8,1,23.0
20151001,cocktail0,base40,user_type8,1,1020.0
20151015,cocktail0,base40,user_type8,1,45.0
20160414,cocktail0,base40,user_type8,1,745.0
20160506,cocktail0,base40,user_type8,1,210.0
20160901,cocktail0,base40,user_type8,1,181.0
20161007,cocktail0,base40,user_type8,1,16.0
20161012,cocktail0,base40,user_type8,1,73.0
20150623,cocktail0,base33,user_type17,0,13.0
20151105,cocktail0,base33,user_type11,0,301.0
20170405,cocktail0,base33,user_type2,0,216.0
20150129,cocktail0,base11,user_type11,0,21.0
20150406,cocktail0,base11,user_type6,1,41.0
20150529,cocktail0,base11,user_type6,1,151.0
20151105,cocktail0,base11,user_type11,0,490.0
20151210,cocktail0,base11,user_type11,0,634.0
20151228,cocktail0,base11,user_type45,1,504.0
20160114,cocktail0,base11,user_type11,0,367.0
20160119,cocktail0,base11,user_type11,0,317.0
20160128,cocktail0,base11,user_type22,1,167.0
20160304,cocktail0,base11,user_type20,1,13.0
20160509,cocktail0,base11,user_type17,0,1557.0
20161014,cocktail0,base11,user_type20,1,23.0
20161021,cocktail0,base11,user_type11,0,593.0
20161227,cocktail0,base11,user_type22,1,167.0
20170203,cocktail0,base11,user_type17,0,416.0
20150911,cocktail0,base68,user_type23,1,988.0
20160615,cocktail0,base68,user_type11,0,363.0
20171018,cocktail0,base68,user_type24,1,1286.0
20180418,cocktail0,base68,user_type10,1,272.0
20150116,cocktail0,base59,user_type25,1,691.0
20150415,cocktail0,base59,user_type35,0,31.0
20151023,cocktail0,base59,user_type1,1,614.0
20151113,cocktail0,base59,user_type6,1,64.0
20160404,cocktail0,base59,user_type8,1,13.0
20161013,cocktail0,base59,user_type8,1,93.0
20171129,cocktail0,base59,user_type66,0,530.0
20160404,cocktail0,base48,user_type11,0,398.0
20160405,cocktail0,base48,user_type11,0,539.0
20171110,cocktail0,base48,user_type38,1,53.0
20180919,cocktail0,base48,user_type17,0,643.0
20150217,cocktail0,base13,user_type0,1,59.0
20150323,cocktail0,base13,user_type0,1,59.0
20150402,cocktail0,base13,user_type8,1,133.0
20150512,cocktail0,base13,user_type35,0,31.0
20150622,cocktail0,base13,user_type11,0,946.0
20150924,cocktail0,base13,user_type8,1,15.0
20150925,cocktail0,base13,user_type10,1,4886.0
20150925,cocktail0,base13,user_type8,1,54.0
20150925,cocktail0,base13,user_type23,1,18.0
20151014,cocktail0,base13,user_type10,1,623.0
20151106,cocktail0,base13,user_type3,0,98.0
20151109,cocktail0,base13,user_type11,0,484.0
20151123,cocktail0,base13,user_type2,0,490.0
20151215,cocktail0,base13,user_type11,0,488.0
20160122,cocktail0,base13,user_type17,0,175.0
20160404,cocktail0,base13,user_type9,1,183.0
20160414,cocktail0,base13,user_type8,1,61.0
20160530,cocktail0,base13,user_type8,1,23.0
20160630,cocktail0,base13,user_type52,0,144.0
20161007,cocktail0,base13,user_type8,1,17.0
20161014,cocktail0,base13,user_type8,1,296.0
20161021,cocktail0,base13,user_type11,0,928.0
20161128,cocktail0,base13,user_type35,0,125.0
20170424,cocktail0,base13,user_type11,0,170.0
20170921,cocktail0,base13,user_type8,1,176.0
20171011,cocktail0,base13,user_type10,1,902.0
20150116,cocktail0,base47,user_type25,1,1027.0
20151002,cocktail0,base47,user_type14,0,455.0
20151218,cocktail0,base47,user_type18,1,294.0
20160212,cocktail0,base47,user_type45,1,546.0
20160304,cocktail0,base47,user_type20,1,12.0
20160610,cocktail0,base47,user_type3,0,766.0
20161014,cocktail0,base47,user_type20,1,13.0
20161021,cocktail0,base47,user_type18,1,12.0
20161228,cocktail0,base47,user_type18,1,100.0
20170202,cocktail0,base47,user_type18,1,114.0
20170302,cocktail0,base47,user_type18,1,44.0
20170407,cocktail0,base47,user_type79,1,202.0
20171106,cocktail0,base47,user_type18,1,191.0
20171219,cocktail0,base47,user_type18,1,32.0
20180123,cocktail0,base47,user_type18,1,64.0
20180605,cocktail0,base47,user_type18,1,175.0
20180831,cocktail0,base47,user_type18,1,159.0
20181025,cocktail0,base47,user_type3,0,28.0
20150116,cocktail0,base18,user_type25,1,3979.0
20150205,cocktail0,base18,user_type8,1,84.0
20150216,cocktail0,base18,user_type35,0,62.0
20150331,cocktail0,base18,user_type14,0,255.0
20150409,cocktail0,base18,user_type8,1,87.0
20150415,cocktail0,base18,user_type35,0,18.0
20150925,cocktail0,base18,user_type10,1,1731.0
20151007,cocktail0,base18,user_type14,0,1324.0
20151014,cocktail0,base18,user_type10,1,432.0
20151028,cocktail0,base18,user_type14,0,169.0
20160422,cocktail0,base18,user_type1,1,354.0
20160901,cocktail0,base18,user_type8,1,110.0
20161012,cocktail0,base18,user_type8,1,39.0
20170331,cocktail0,base18,user_type11,0,308.0
20171110,cocktail0,base18,user_type38,1,246.0
20150427,cocktail0,base71,user_type17,0,795.0
20150514,cocktail0,base71,user_type17,0,15.0
20160212,cocktail0,base71,user_type8,1,26.0
20161007,cocktail0,base71,user_type8,1,12.0
20161010,cocktail0,base71,user_type8,1,20.0
20161021,cocktail0,base71,user_type8,1,240.0
20170223,cocktail0,base71,user_type9,1,591.0
20170414,cocktail0,base71,user_type8,1,99.0
20180402,cocktail0,base71,user_type8,1,79.0
20180716,cocktail0,base30,user_type9,1,63.0
20150423,cocktail0,base35,user_type8,1,99.0
20150622,cocktail0,base35,user_type5,0,75.0
20150623,cocktail0,base35,user_type17,0,16.0
20150924,cocktail0,base35,user_type1,1,299.0
20150925,cocktail0,base35,user_type8,1,54.0
20150925,cocktail0,base35,user_type23,1,18.0
20151014,cocktail0,base35,user_type10,1,351.0
20151023,cocktail0,base35,user_type3,0,232.0
20151113,cocktail0,base35,user_type3,0,97.0
20160219,cocktail0,base35,user_type3,0,30.0
20160414,cocktail0,base35,user_type8,1,82.0
20160623,cocktail0,base35,user_type52,0,111.0
20170810,cocktail0,base35,user_type23,1,55.0
20171011,cocktail0,base35,user_type42,1,449.0
20181030,cocktail0,base35,user_type12,0,254.0
20150423,cocktail0,base88,user_type8,1,150.0
20151007,cocktail0,base88,user_type10,1,105.0
20161104,cocktail0,base88,user_type38,1,231.0
20150302,cocktail0,base78,user_type10,1,510.0
20150303,cocktail0,base78,user_type10,1,67.0
20150622,cocktail0,base78,user_type5,0,271.0
20151030,cocktail0,base78,user_type10,1,190.0
20151210,cocktail0,base78,user_type11,0,790.0
20161118,cocktail0,base78,user_type42,1,2833.0
20150105,cocktail0,base1,user_type44,1,215.0
20150211,cocktail0,base1,user_type3,0,11.0
20150216,cocktail0,base1,user_type35,0,21.0
20150415,cocktail0,base1,user_type35,0,52.0
20150428,cocktail0,base1,user_type35,0,264.0
20151015,cocktail0,base1,user_type2,0,871.0
20151106,cocktail0,base1,user_type1,1,218.0
20151125,cocktail0,base1,user_type3,0,99.0
20151215,cocktail0,base1,user_type38,1,160.0
20151222,cocktail0,base1,user_type39,1,63.0
20160215,cocktail0,base1,user_type6,1,24.0
20160617,cocktail0,base1,user_type52,0,264.0
20160708,cocktail0,base1,user_type1,1,27.0
20161010,cocktail0,base1,user_type2,0,431.0
20161014,cocktail0,base1,user_type2,0,169.0
20161018,cocktail0,base1,user_type2,0,783.0
20161021,cocktail0,base1,user_type2,0,1030.0
20161116,cocktail0,base1,user_type2,0,138.0
20161117,cocktail0,base1,user_type28,1,542.0
20161223,cocktail0,base1,user_type1,1,844.0
20170120,cocktail0,base1,user_type1,1,203.0
20170210,cocktail0,base1,user_type2,0,1043.0
20170217,cocktail0,base1,user_type2,0,132.0
20170217,cocktail0,base1,user_type1,1,289.0
20171010,cocktail0,base1,user_type0,1,10.0
20171030,cocktail0,base1,user_type0,1,797.0
20171110,cocktail0,base1,user_type66,0,2109.0
20171120,cocktail0,base1,user_type2,0,405.0
20180205,cocktail0,base1,user_type17,0,50.0
20180523,cocktail0,base1,user_type2,0,102.0
20181005,cocktail0,base1,user_type3,0,522.0
20181029,cocktail0,base1,user_type2,0,173.0
20181101,cocktail0,base1,user_type12,0,11.0
20181116,cocktail0,base1,user_type14,0,2177.0
20181126,cocktail0,base1,user_type66,0,12.0
20151019,cocktail0,base61,user_type1,1,640.0
20171031,cocktail0,base61,user_type2,0,325.0
20150127,cocktail0,base3,user_type48,1,702.0
20150709,cocktail0,base3,user_type11,0,90.0
20150803,cocktail0,base3,user_type45,1,232.0
20150924,cocktail0,base3,user_type8,1,13.0
20151015,cocktail0,base3,user_type8,1,29.0
20160414,cocktail0,base3,user_type8,1,511.0
20160506,cocktail0,base3,user_type8,1,29.0
20160719,cocktail0,base3,user_type17,0,769.0
20161012,cocktail0,base3,user_type8,1,16.0
20181030,cocktail0,base3,user_type23,1,193.0
20151228,cocktail0,base56,user_type10,1,130.0
20160304,cocktail0,base56,user_type20,1,13.0
20161014,cocktail0,base56,user_type20,1,93.0
20180423,cocktail0,base56,user_type2,0,50.0
20150423,cocktail0,base73,user_type8,1,201.0
20151001,cocktail0,base73,user_type8,1,61.0
20161012,cocktail0,base73,user_type8,1,17.0
20150316,cocktail0,base74,user_type10,1,300.0
20160311,cocktail0,base74,user_type10,1,149.0
20160321,cocktail0,base74,user_type10,1,73.0
20160422,cocktail0,base74,user_type1,1,181.0
20171110,cocktail0,base74,user_type66,0,604.0
20150105,cocktail0,base0,user_type44,1,149.0
20150112,cocktail0,base0,user_type1,1,155.0
20150112,cocktail0,base0,user_type4,1,2955.0
20150113,cocktail0,base0,user_type9,1,7139.0
20150114,cocktail0,base0,user_type59,0,412.0
20150119,cocktail0,base0,user_type1,1,209.0
20150119,cocktail0,base0,user_type4,1,6221.0
20150122,cocktail0,base0,user_type22,1,1871.0
20150128,cocktail0,base0,user_type60,1,21.0
20150129,cocktail0,base0,user_type48,1,1668.0
20150203,cocktail0,base0,user_type4,1,37.0
20150203,cocktail0,base0,user_type9,1,53.0
20150205,cocktail0,base0,user_type10,1,1222.0
20150205,cocktail0,base0,user_type8,1,762.0
